Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-01-02 00:00:00-05:00,186.62310176216755,189.2542159725109,186.21229798979158,188.75537109375,1140900,0.0,0.0
2018-01-03 00:00:00-05:00,188.00220529296834,192.36456000840568,186.99474000042954,192.2178497314453,1458300,0.0,0.0
2018-01-04 00:00:00-05:00,192.8340679888341,195.2304455446569,192.36458012870656,194.62400817871094,1566400,0.0,0.0
2018-01-05 00:00:00-05:00,195.62167220013583,198.21365338688798,194.84897316183495,197.9593505859375,1469500,0.0,0.0
2018-01-08 00:00:00-05:00,197.9593726824257,198.79077085197773,195.81731274477477,198.2821502685547,1974600,0.0,0.0
2018-01-09 00:00:00-05:00,200.2676825372382,202.39017584324418,198.94723030885137,201.588134765625,1845200,0.0,0.0
2018-01-10 00:00:00-05:00,200.31659962026438,202.09674911464987,197.53877539730047,201.7739715576172,1421200,0.0,0.0
2018-01-11 00:00:00-05:00,202.41956038962735,204.15081669309524,201.45124248198164,204.09213256835938,1520600,0.0,0.0
2018-01-12 00:00:00-05:00,204.31705326384235,206.90903442942653,203.24112810562875,205.56903076171875,1486500,0.0,0.0
2018-01-16 00:00:00-05:00,207.17314436820297,207.17314436820297,202.96727513023606,203.45632934570312,2264300,0.0,0.0
2018-01-17 00:00:00-05:00,204.97237562740625,207.03618476425314,203.7399645262779,206.850341796875,1461700,0.0,0.0
2018-01-18 00:00:00-05:00,206.77215628401748,208.39582017504765,205.91143084730822,207.7600555419922,1458500,0.0,0.0
2018-01-19 00:00:00-05:00,209.26629233162146,209.87272969754085,207.71110353425158,208.83592224121094,1439900,0.0,0.0
2018-01-22 00:00:00-05:00,209.325018939671,210.61612947298661,208.11217381113536,210.60635375976562,1230300,0.0,0.0
2018-01-23 00:00:00-05:00,210.8606458164059,212.46474326284152,209.5597596365599,209.8531951904297,1267000,0.0,0.0
2018-01-24 00:00:00-05:00,210.3129181908527,211.9267914327442,208.33713461324228,210.60635375976562,1227400,0.0,0.0
2018-01-25 00:00:00-05:00,211.6333674065814,213.9514950951493,210.30313902307645,213.11032104492188,1668400,0.0,0.0
2018-01-26 00:00:00-05:00,213.3938730652979,214.9686279296875,211.98539481084418,214.9686279296875,1162000,0.0,0.0
2018-01-29 00:00:00-05:00,214.5969931372084,215.28168100852676,213.80472766155523,214.01991271972656,1042800,0.0,0.0
2018-01-30 00:00:00-05:00,211.26164958532004,211.54529446905994,207.8871634914717,209.921630859375,1921700,0.0,0.0
2018-01-31 00:00:00-05:00,218.5681081947414,221.0524969475273,214.89041108306665,219.20387268066406,3414200,0.0,0.0
2018-02-01 00:00:00-05:00,219.2528010121834,221.48288715823256,214.8024044319994,217.49220275878906,1912800,0.0,0.0
2018-02-02 00:00:00-05:00,215.29145921916955,215.9467901131154,212.79727959759876,212.9244384765625,1992400,0.0,0.0
2018-02-05 00:00:00-05:00,211.96587527112845,214.46003972003172,203.26070166551168,203.749755859375,2387600,0.0,0.0
2018-02-06 00:00:00-05:00,200.51225805680903,206.47872633961995,197.20624629439064,204.89418029785156,2415300,0.0,0.0
2018-02-07 00:00:00-05:00,203.7791231051189,206.5765140367782,201.6175116589171,203.0064239501953,1653000,0.0,0.0
