Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-01-02 00:00:00-05:00,66.57931128490613,67.26539590212835,66.23265446667475,67.01985168457031,3582900,0.0,0.0
2018-01-03 00:00:00-05:00,66.86098207535541,67.50373679626104,66.80320500810168,67.37374114990234,3057600,0.0,0.0
2018-01-04 00:00:00-05:00,67.46038770787686,67.61204833416342,66.90429323490334,67.59037780761719,2977000,0.0,0.0
2018-01-05 00:00:00-05:00,67.59759734665927,68.10313824784836,67.47482525305489,67.90814208984375,2973800,0.0,0.0
2018-01-08 00:00:00-05:00,67.98036382086978,68.15369497162267,67.45316338961742,68.04536437988281,2493400,0.0,0.0
2018-01-09 00:00:00-05:00,68.43536987592633,68.57980703103881,67.88649876863516,67.9587173461914,3884900,0.0,0.0
2018-01-10 00:00:00-05:00,67.74925469703385,68.35590264722246,67.56870556458472,67.99480438232422,2391800,0.0,0.0
2018-01-11 00:00:00-05:00,68.31258205442397,68.32702907373715,67.60483238593518,68.28369903564453,2679700,0.0,0.0
2018-01-12 00:00:00-05:00,68.5436813590124,70.05306959521863,68.39923873430573,69.87252044677734,2873400,0.0,0.0
2018-01-16 00:00:00-05:00,69.94474443529573,70.45028539613962,69.08533416873048,69.439208984375,3052500,0.0,0.0
2018-01-17 00:00:00-05:00,69.66308904973053,70.85471463878775,69.5403169401107,70.45750427246094,2940700,0.0,0.0
2018-01-18 00:00:00-05:00,70.13251484675341,70.21918042551377,69.31643464230453,69.6630859375,2489400,0.0,0.0
2018-01-19 00:00:00-05:00,69.8869720069649,70.26251737529869,69.51143214855465,70.24085235595703,2368800,0.0,0.0
2018-01-22 00:00:00-05:00,70.50083222209811,71.56968007644122,70.36361310853032,71.46134948730469,2441200,0.0,0.0
2018-01-23 00:00:00-05:00,71.72135616774561,71.72135616774561,70.81861024675426,71.27359771728516,2120300,0.0,0.0
2018-01-24 00:00:00-05:00,72.16910020733489,72.18354171371799,70.03862262583932,70.52971649169922,3109500,0.0,0.0
2018-01-25 00:00:00-05:00,70.91251828103503,70.91251828103503,69.96643655650402,70.18309783935547,2725300,0.0,0.0
2018-01-26 00:00:00-05:00,70.45751187835772,71.31692775831712,70.33473975548462,71.27359771728516,2122200,0.0,0.0
2018-01-29 00:00:00-05:00,71.230275917461,71.230275917461,69.4681192862466,69.61255645751953,2787100,0.0,0.0
2018-01-30 00:00:00-05:00,69.20088009725245,69.34531721767829,66.52153129091577,68.13202667236328,4338800,0.0,0.0
2018-01-31 00:00:00-05:00,68.28368631826123,69.64141385488873,68.21868576330478,69.3092041015625,5334000,0.0,0.0
2018-02-01 00:00:00-05:00,69.63420868199496,69.95920052250612,66.94763591473735,68.38481140136719,5032300,0.0,0.0
2018-02-02 00:00:00-05:00,68.0237026760174,69.22254622252868,66.97651425143503,67.30150604248047,4656700,0.0,0.0
2018-02-05 00:00:00-05:00,66.32651993113272,67.64092277170425,59.87008735570502,64.83157348632812,7072900,0.0,0.0
2018-02-06 00:00:00-05:00,63.39443038061141,65.80657041159263,62.65056860327848,65.32991790771484,6335000,0.0,0.0
2018-02-07 00:00:00-05:00,65.30824765991292,66.83930664416852,64.88214874267578,64.88214874267578,4344500,0.0,0.0
2018-02-08 00:00:00-05:00,64.73047983552803,65.26490929130502,62.650555593070926,62.66499710083008,3975900,0.0,0.0
2018-02-09 00:00:00-05:00,63.28609741458566,64.54272369090339,61.57449469223626,63.712196350097656,5463400,0.0,0.0
2018-02-12 00:00:00-05:00,64.31710810210129,65.3665901722567,64.22964940947278,64.74710083007812,4020900,0.8,0.0
2018-02-13 00:00:00-05:00,64.3754038911827,65.44674907788715,64.251508266143,65.21353149414062,3638200,0.0,0.0
2018-02-14 00:00:00-05:00,64.76167468309691,67.80808271910479,64.70336889285126,67.50926971435547,4877300,0.0,0.0
2018-02-15 00:00:00-05:00,68.1870600801482,68.66807451511742,66.74402789593303,67.7789306640625,4057600,0.0,0.0
2018-02-16 00:00:00-05:00,67.78620730515935,68.80653621045028,67.34892507727615,67.97569274902344,2538800,0.0,0.0
2018-02-20 00:00:00-05:00,67.85910575296346,68.4275733644394,66.35776764467096,66.74403381347656,3083600,0.0,0.0
2018-02-21 00:00:00-05:00,66.68573971862881,67.59674709183412,66.1828618693082,66.19744110107422,2018100,0.0,0.0
2018-02-22 00:00:00-05:00,66.31401778952325,67.95383033518151,66.31401778952325,67.08655548095703,3047300,0.0,0.0
2018-02-23 00:00:00-05:00,67.54572177162493,67.7060599372928,66.80234230212025,67.38538360595703,2069200,0.0,0.0
2018-02-26 00:00:00-05:00,67.85907816539238,68.36923977332842,67.53111792605414,68.00483703613281,2563300,0.0,0.0
2018-02-27 00:00:00-05:00,68.04129583168782,69.41873806339363,67.58215027456782,67.61129760742188,2893000,0.0,0.0
2018-02-28 00:00:00-05:00,67.7789095585127,68.121449023356,65.88401642485975,65.89859008789062,2746800,0.0,0.0
2018-03-01 00:00:00-05:00,65.97876261499064,67.35620459835017,65.43944808889329,66.19011688232422,3035900,0.0,0.0
2018-03-02 00:00:00-05:00,65.63622601455822,67.50197200248054,65.27911285216774,67.19586944580078,3485000,0.0,0.0
2018-03-05 00:00:00-05:00,66.69300946326966,67.30520356669294,65.65081711643103,66.72944641113281,4656700,0.0,0.0
2018-03-06 00:00:00-05:00,66.96266008797099,67.61129666164386,66.32131312758257,66.84605407714844,2852300,0.0,0.0
2018-03-07 00:00:00-05:00,66.13913206685717,67.66962326707859,66.1026895495684,67.07929229736328,2616800,0.0,0.0
2018-03-08 00:00:00-05:00,67.1229830793608,68.11415896936039,66.3941776049696,68.00483703613281,3650800,0.0,0.0
2018-03-09 00:00:00-05:00,68.45674056116324,69.52808615749368,68.3984347528471,68.74097442626953,3500400,0.0,0.0
2018-03-12 00:00:00-04:00,68.51500921921526,68.85754870690565,67.43637459161646,67.55298614501953,3231900,0.0,0.0
2018-03-13 00:00:00-04:00,67.79351536541942,69.20011082947066,67.63318275468089,68.13605499267578,4322400,0.0,0.0
2018-03-14 00:00:00-04:00,68.2672252769692,68.58061193519946,67.40723437022191,67.53113555908203,2747400,0.0,0.0
2018-03-15 00:00:00-04:00,67.85180442588123,68.06315873013675,65.9714845276183,67.2906265258789,2786100,0.0,0.0
2018-03-16 00:00:00-04:00,67.33436141070544,68.5368919855048,67.33436141070544,68.35469055175781,5308600,0.0,0.0
2018-03-19 00:00:00-04:00,67.93927897196697,68.0996171409414,67.17403064198788,67.73521423339844,2334700,0.0,0.0
2018-03-20 00:00:00-04:00,68.1724836309257,69.87060219125208,68.12146745599661,68.85027313232422,3354400,0.0,0.0
2018-03-21 00:00:00-04:00,69.02519183329915,70.26416494303598,68.86485367883407,69.56450653076172,3066200,0.0,0.0
2018-03-22 00:00:00-04:00,68.79196915748028,69.31671014792666,67.74248717658752,67.8080825805664,3264500,0.0,0.0
2018-03-23 00:00:00-04:00,68.3546737323845,68.87941462211332,66.40147462080785,66.48164367675781,3195400,0.0,0.0
2018-03-26 00:00:00-04:00,67.32706518454505,68.8502719124621,67.29791229076693,68.68993377685547,3111500,0.0,0.0
2018-03-27 00:00:00-04:00,68.7191009551279,68.98876110836964,66.40149824129946,67.24691009521484,3756700,0.0,0.0
2018-03-28 00:00:00-04:00,67.48739862325141,67.74247947562465,65.75284326676778,65.79656982421875,3864800,0.0,0.0
2018-03-29 00:00:00-04:00,66.48165218774213,67.69875628702151,66.40877273491535,67.61129760742188,4173900,0.0,0.0
2018-04-02 00:00:00-04:00,67.23232411062057,67.58215328425248,65.4103099070807,66.72944641113281,2788500,0.0,0.0
2018-04-03 00:00:00-04:00,67.19587703027808,67.60401196513608,66.56910374207952,67.5602798461914,2930600,0.0,0.0
2018-04-04 00:00:00-04:00,66.38691682584087,68.23080014755723,65.57065789863367,68.03401947021484,3659600,0.0,0.0
2018-04-05 00:00:00-04:00,68.38384461927099,70.12568991088835,68.29638592785022,69.86331939697266,3766300,0.0,0.0
2018-04-06 00:00:00-04:00,69.2802628784371,69.96534196448331,68.34010292854785,69.36772155761719,3432000,0.0,0.0
2018-04-09 00:00:00-04:00,69.83415089204117,70.83990059703724,69.64465988315368,69.97262573242188,3653800,0.0,0.0
2018-04-10 00:00:00-04:00,70.9638195481751,72.31210910531529,70.74517559389432,72.07160186767578,3489100,0.0,0.0
2018-04-11 00:00:00-04:00,72.13719888167591,73.54379426593853,71.67075806481837,73.10650634765625,3506900,0.0,0.0
2018-04-12 00:00:00-04:00,73.354289123272,73.81343467690824,72.62548347984226,73.26683044433594,3245100,0.0,0.0
2018-04-13 00:00:00-04:00,73.8644500233193,74.50580254098489,73.21581345274987,74.21427917480469,2641200,0.0,0.0
2018-04-16 00:00:00-04:00,74.52767450472976,77.50848723138873,74.43292620248185,76.8817138671875,5876400,0.0,0.0
