Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-01-02 00:00:00-05:00,48.33714927095936,48.590554788380395,48.067905531095505,48.37674331665039,13819300,0.0,0.0
2018-01-03 00:00:00-05:00,48.479695743796896,48.91523633739948,48.38466639837523,48.748939514160156,14203700,0.0,0.0
2018-01-04 00:00:00-05:00,49.0815278065263,49.928853075360834,49.026095538160085,49.35869216918945,18740500,0.0,0.0
2018-01-05 00:00:00-05:00,49.699197964966096,49.73879502734064,49.168631162462646,49.691280364990234,14217900,0.0,0.0
2018-01-08 00:00:00-05:00,49.620016404602275,49.67544867421531,49.04985246477427,49.12904357910156,15569400,0.0,0.0
2018-01-09 00:00:00-05:00,49.33493343361355,49.707124111319246,49.15279840560474,49.30325698852539,15766500,0.0,0.0
2018-01-10 00:00:00-05:00,49.47747620554652,50.20601936476918,49.3824498876765,49.98428726196289,18107500,0.0,0.0
2018-01-11 00:00:00-05:00,50.403992728214014,50.41982793053209,49.6437731211626,49.897178649902344,22075000,0.0,0.0
2018-01-12 00:00:00-05:00,50.04763337255654,50.206012561432985,49.13695530214078,49.532901763916016,25886100,0.0,0.0
2018-01-16 00:00:00-05:00,49.72295869985316,50.00804064314719,49.23990352047514,49.493309020996094,17907800,0.0,0.0
2018-01-17 00:00:00-05:00,49.77048760916386,50.712842473170284,49.48540858780432,50.58613967895508,23892900,0.0,0.0
2018-01-18 00:00:00-05:00,50.5782067087707,50.926638552600785,50.57028910767936,50.64155960083008,16305900,0.0,0.0
2018-01-19 00:00:00-05:00,50.799952541540755,50.887061281252095,50.5465469464712,50.855384826660156,16524000,0.0,0.0
2018-01-22 00:00:00-05:00,50.68114707522408,51.275066767511866,50.657391254198735,51.25923156738281,12245200,0.0,0.0
2018-01-23 00:00:00-05:00,50.92664235267174,51.35426534348464,50.85537487503531,51.069183349609375,12937100,0.0,0.0
2018-01-24 00:00:00-05:00,51.4334411047871,51.971928514961526,51.314662003888074,51.8531494140625,20180300,0.0,0.0
2018-01-25 00:00:00-05:00,52.027376370967986,52.14616154913579,51.78981205629751,51.98778533935547,17568700,0.0,0.0
2018-01-26 00:00:00-05:00,52.17782673038032,52.29661188289364,51.67101571854304,52.209503173828125,16251900,0.0,0.0
2018-01-29 00:00:00-05:00,52.09072193063977,52.51042426490952,51.99569863482883,52.122398376464844,16105200,0.0,0.0
2018-01-30 00:00:00-05:00,51.81356361075492,52.20951014421883,51.69477844238281,51.69477844238281,16158900,0.0,0.0
2018-01-31 00:00:00-05:00,51.68685400438635,52.34412665141434,51.599751331785896,52.090721130371094,18147900,0.0,0.0
2018-02-01 00:00:00-05:00,52.07478788013744,52.64834627033368,51.82783279786806,52.18631362915039,15717600,0.39,0.0
