Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-01-02 00:00:00-05:00,135.46785482176247,137.37607127530657,134.74937078709934,136.74256896972656,2301100,0.0,0.0
2018-01-03 00:00:00-05:00,136.67302705541357,140.17270843525426,135.78457965764596,139.32289123535156,3084000,0.0,0.0
2018-01-04 00:00:00-05:00,139.54698131358768,139.72466613131172,138.09457031231744,138.7357940673828,2021100,0.0,0.0
2018-01-05 00:00:00-05:00,139.70918087920577,139.7400897552973,138.31085483726085,139.56239318847656,2211400,0.0,0.0
2018-01-08 00:00:00-05:00,139.43101260847016,140.0258844943503,137.84726921239564,139.5237274169922,2356200,0.0,0.0
2018-01-09 00:00:00-05:00,139.46974663040857,142.55997534748542,139.15299535771928,141.67153930664062,3031700,0.0,0.0
2018-01-10 00:00:00-05:00,141.11522061990397,141.9186744635124,139.3460590379525,141.2697296142578,2542700,0.0,0.0
2018-01-11 00:00:00-05:00,141.26975940598555,141.26975940598555,139.91006346533874,140.574462890625,2101300,0.0,0.0
2018-01-12 00:00:00-05:00,140.8680172595728,143.39428153259772,140.41221153412434,142.95391845703125,3111400,0.0,0.0
2018-01-16 00:00:00-05:00,143.402046461684,144.81582738240965,142.28184101393654,143.34024047851562,3374600,0.0,0.0
2018-01-17 00:00:00-05:00,145.00889187477156,146.24498732408395,143.61828744136508,145.24838256835938,4018200,0.0,0.0
2018-01-18 00:00:00-05:00,144.81580794514537,145.67334669054236,143.30932414601128,144.92396545410156,3084900,0.0,0.0
2018-01-19 00:00:00-05:00,145.51883273561546,146.56951069641818,144.93169367656958,146.22958374023438,3652300,0.0,0.0
2018-01-22 00:00:00-05:00,146.5771936169949,148.7712638170429,146.34542422684353,148.58584594726562,3579800,0.0,0.0
2018-01-23 00:00:00-05:00,149.10348993825195,151.44433653152555,148.02191493380596,148.32321166992188,3486700,0.0,0.0
2018-01-24 00:00:00-05:00,148.910338787852,149.05712648134266,146.40725025004883,147.27252197265625,2765700,0.0,0.0
2018-01-25 00:00:00-05:00,147.86737940663605,148.17640922594174,145.93598724203378,146.8476104736328,2470300,0.0,0.0
2018-01-26 00:00:00-05:00,147.59698816093345,152.03919003671908,147.5506366361808,151.42886352539062,3920300,0.0,0.0
2018-01-29 00:00:00-05:00,151.5834063046513,155.46163375618997,151.15076450490383,152.96627807617188,4565700,0.0,0.0
2018-01-30 00:00:00-05:00,151.56016640128144,151.78421444372782,147.21068023494914,147.7669219970703,3990800,0.0,0.0
2018-01-31 00:00:00-05:00,148.0527814841083,148.53949602985045,142.65260532491325,143.73419189453125,4677700,0.0,0.0
2018-02-01 00:00:00-05:00,142.92302189154387,144.3368023875514,140.86029644964898,143.35565185546875,4078100,0.0,0.0
2018-02-02 00:00:00-05:00,141.73330802000586,148.79447830992163,141.38564795013897,144.4758758544922,7029400,0.0,0.0
2018-02-05 00:00:00-05:00,144.3290530506452,145.7042030783474,134.9038515732076,135.00428771972656,6922800,0.0,0.0
2018-02-06 00:00:00-05:00,137.50740314577078,139.27655321194945,132.91068028480132,136.47216796875,7527700,0.0,0.0
2018-02-07 00:00:00-05:00,136.16313164654085,139.82505500524172,135.96999245271599,137.10565185546875,5715700,0.0,0.0
2018-02-08 00:00:00-05:00,137.46099048532702,139.38466066738525,133.65229209723037,133.7449951171875,6026800,0.0,0.0
2018-02-09 00:00:00-05:00,134.52530200432895,135.55280383038905,129.9826648340169,134.0076904296875,6093900,0.0,0.0
2018-02-12 00:00:00-05:00,134.65667930621296,136.487635513125,133.652352909353,135.09703063964844,4324800,0.0,0.0
